1238, 1334, 1998
1532, 1969, 1998
1851, 1997, 1998
1997, 1997, 1998
1997, 1997, 1947
1997, 1997, 1337
1997, 1997, 247
1997, 1997, -714
1955, 1665, -1082
1959, 620, -1026
1997, -400, -897
1997, -1352, -965
1997, -1801, -1056
1926, -1880, -1242
1543, -1998, -1331
1026, -1998, -1835
573, -1998, -1627
149, -1998, -1303
62, -1998, -458
171, -1998, 393
256, -1743, 1311
490, -818, 1946
790, -423, 1998
662, 422, 1998
361, 1356, 1998
196, 1428, 1998
-,-,-
-328, -144, 560
-565, -527, 604
-756, -1520, 625
-767, -1998, 1114
-517, -1821, 1741
-180, -828, 1998
268, -281, 1998
669, 101, 1998
1025, 734, 1998
1394, 1162, 1998
1676, 1511, 1998
1870, 1952, 1996
1996, 1997, 1774
1920, 1997, 1082
1675, 1997, 407
1588, 1997, 56
1692, 1997, -554
1692, 1997, -554
1885, 1931, -1070
1996, 1138, -1358
1981, -128, -1257
1843, -372, -1477
1751, -943, -1662
1615, -1691, -1715
1426, -1998, -1179
1042, -1998, -925
925, -1998, -402
820, -1998, 228
756, -1998, 1181
731, -1989, 1886
814, -1218, 1998
900, -86, 1998
900, -86, 1998
714, 865, 1998
636, 1005, 1998
573, 938, 1998
502, 1109, 1998
-,-,-
-266, 169, 870
-229, 141, 846
-222, -112, 1049
-237, -191, 1023
-283, -359, 831
-335, -786, 736
-335, -786, 736
-392, -1296, 991
-577, -1650, 1190
-504, -1972, 1564
-124, -1949, 1946
63, -1275, 1998
273, -364, 1998
601, 395, 1998
949, 981, 1998
1370, 1354, 1998
1732, 1756, 1998
1955, 1982, 1922
1997, 1997, 1476
1986, 1997, 1145
1847, 1997, 616
1788, 1997, -353
1890, 1997, -1345
1997, 1309, -1672
1997, 288, -1744
1997, -416, -1945
1996, -1280, -1997
1690, -1885, -1997
1184, -1998, -1728
928, -1998, -1261
692, -1998, -759
501, -1998, 33
560, -1998, 987
869, -1998, 1704
1231, -1998, 1977
1487, -1474, 1998
1349, -669, 1998
1297, 108, 1998
1129, 975, 1998
-,-,-
-254, -181, 834
-366, -360, 869
-524, -601, 1045
-815, -920, 817
-466, -1806, 1115
280, -1998, 1848
677, -1998, 1998
728, -1728, 1998
748, -987, 1998
649, 115, 1998
711, 1077, 1998
1054, 1735, 1998
1054, 1735, 1998
1419, 1997, 1998
1647, 1997, 1998
1857, 1997, 1997
1944, 1997, 1517
1741, 1997, 256
1806, 1997, -653
1996, 1678, -1051
1997, 729, -1280
1968, 295, -1246
1693, 207, -1415
1504, -17, -1640
1463, -392, -1828
1465, -846, -1790
1424, -1439, -1760
1304, -1994, -1609
1094, -1998, -973
742, -1998, -48
424, -1998, 726
560, -1998, 1616
860, -1998, 1998
912, -1623, 1998
677, -214, 1998
441, 720, 1998
314, 963, 1998
186, 1070, 1760
119, 1062, 1328
-,-,-
-287, -195, 357
-439, -640, 654
-663, -1298, 899
-950, -1820, 1011
-503, -1998, 1683
123, -1995, 1998
503, -1468, 1998
791, -289, 1998
1166, 531, 1998
1745, 1166, 1998
1997, 1847, 1998
1997, 1997, 1998
1997, 1997, 1954
1997, 1997, 1334
1991, 1997, 555
1991, 1997, 555
1805, 1997, -572
1840, 1997, -1519
1995, 1246, -1907
1997, 149, -1832
1992, -216, -1980
1889, -813, -1851
1595, -1626, -1657
853, -1998, -1471
624, -1998, -1297
387, -1998, -672
243, -1998, 307
243, -1998, 307
379, -1998, 973
556, -1998, 1663
553, -1484, 1998
410, -413, 1998
409, -17, 1998
411, 291, 1998
-,-,-
-166, -294, 1103
-300, -112, 668
-354, -366, 512
-261, -1056, 688
-277, -1298, 1106
-359, -1366, 1395
-434, -1703, 1774
-395, -1892, 1998
-173, -1483, 1998
105, -771, 1998
377, 160, 1998
705, 1108, 1998
705, 1108, 1998
1124, 1908, 1998
1634, 1997, 1998
1993, 1997, 1998
1997, 1997, 1748
1931, 1997, 1103
1875, 1997, 363
1944, 1997, -546
1997, 1707, -1371
1995, 836, -1807
1800, 176, -1824
1501, -141, -1600
1260, -319, -1423
1041, -563, -1122
874, -1022, -991
910, -1469, -961
988, -1940, -885
644, -1998, -824
417, -1998, -680
471, -1998, -196
616, -1998, 332
584, -1933, 1366
622, -1135, 1998
984, -780, 1998
1230, -276, 1998
1028, 348, 1998
674, 629, 1998
674, 629, 1998
376, 805, 1998
-,-,-
-320, -5, 968
-297, 18, 786
-261, -230, 848
-237, -515, 1020
-290, -823, 700
-412, -1600, 325
-395, -1998, 497
-83, -1998, 1386
333, -1998, 1957
630, -1604, 1998
804, -554, 1998
836, 611, 1998
836, 611, 1998
1006, 1584, 1998
1297, 1974, 1998
1664, 1997, 1998
1976, 1997, 1998
1997, 1997, 1815
1968, 1997, 1244
1931, 1997, 671
1933, 1997, -308
1976, 1996, -1209
1997, 1527, -1610
1997, 510, -1716
1997, -221, -1626
1997, -779, -1848
1901, -1171, -1845
1678, -1474, -1774
1375, -1904, -1427
1194, -1998, -1364
1096, -1998, -1133
543, -1998, 617
543, -1998, 617
791, -1998, 1435
1306, -1993, 1945
1610, -1217, 1998
1467, -135, 1998
1361, 510, 1998
1035, 1611, 1998
536, 1997, 1998
-,-,-
-164, 116, 869
-178, 38, 775
-195, -263, 645
-261, -897, 623
-365, -1476, 421
-406, -1987, 554
-251, -1998, 1096
112, -1998, 1954
315, -1792, 1998
588, -805, 1998
824, 174, 1998
1071, 1173, 1998
1399, 1955, 1998
1667, 1997, 1998
1843, 1997, 1998
1846, 1997, 1805
1824, 1997, 1358
1824, 1997, 1358
1855, 1997, 548
1910, 1997, -348
1996, 1621, -1070
1997, 765, -1344
1994, 304, -1484
1819, 2, -1802
1532, -389, -1963
1375, -1117, -1992
1312, -1427, -1995
1100, -1440, -1694
623, -1791, -1201
346, -1998, -736
513, -1998, -22
684, -1998, 308
778, -1998, 1079
1140, -1998, 1811
